SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061361,46.013,44,116.613,117,58.88987,54,24.818,20,309.934,307,25.991,26,48.961,58,320.657,322,42.275,43,25.154,28,87.093,21,37.363,34,16.591,18,88.079,90,85.951,84,6.001,7,188.877,318,94.713,96,35,41,123.063,90,71.143,75,34.88,44,168.323,117,47.532,54
15061515,44.263,32,118.757,112,57.88449,58,22.485,26,308.737,314,34.306,33,13.007,6,97.343,71,84.817,92,28.251,29,96.162,17,48.382,35,18.767,18,91.915,90,85.578,84,5.347,7,224.653,318,95.763,96,35.989,31,110.256,53,75.38,73,42.075,19,141.162,134,51.644,45
15062123,46.013,44,114.583,117,61.05908,54,22.828,20,307.234,307,29.185,26,50.08,45,321.559,310,46.618,58,37.446,35,86.412,83,62.062,75,20.516,6,87.653,71,85.535,92,6.19,4,253.176,41,95.204,94,35.924,37,57.206,18,47.887,42,44.519,44,112.58,117,54.966,54
15061358,44.263,38,114.892,132,60.85552,53,27.814,28,309.918,306,28.541,27,43.597,40,311.77,314,56.764,48,36.876,41,76.016,86,52.514,80,17.787,18,88.074,90,84.751,84,6.254,7,184.816,318,94.879,96,35.317,36,81.942,346,60.125,42,41.7,44,117.254,117,53.739,54
15061428,46.013,48,116.066,118,62.23909,66,54.036,58,335.855,336,44.302,48,51.521,49,322.513,320,47.712,54,34.951,32,55.37,14,47.436,38,18.88,18,92.041,90,84.289,84,5.164,4,229.286,41,93.551,94,38.035,42,94.758,96,70.48,80,40.737,44,130.06,117,51.659,54
15061496,41.886,44,117.464,117,59.02325,54,20.812,26,310.271,314,28.538,33,50.906,58,316.017,312,40.806,33,28.513,28,90.169,22,36.183,39,18.717,6,89.691,71,85.164,92,6.518,7,283.297,318,96.025,96,37.847,41,87.135,86,77.102,80,22.588,16,286.234,359,35.202,28
15061648,44.263,48,116.429,118,59.68867,66,50.001,20,322.649,307,35.365,26,50.73,58,324.33,322,50.034,43,27.98,11,71.244,318,34.068,28,19.382,18,92.495,90,84.269,84,6.903,7,244.205,318,91.814,96,33.914,37,89.4,74,75.832,74,38.423,38,133.412,132,52.647,53
15061808,41.325,48,117.152,118,54.92413,66,43.391,47,319.236,352,39.257,36,44.071,46,312.49,323,56.298,57,40.794,32,96.878,84,67.725,81,12.117,10,87.068,96,89.499,88,4.649,4,165.461,41,92.628,94,33.534,29,45.577,17,46.056,50,42.273,44,125.169,117,53.428,54
15061600,44.263,44,118.645,117,59.42272,54,34.586,43,315.627,319,38.42,61,47.115,40,317.256,326,50.341,63,29.184,29,99.467,17,35.03,35,13.277,18,79.395,90,88.745,84,6.138,7,170.726,318,93.505,96,38.839,32,86.647,84,77.928,81,40.831,44,149.966,117,49.786,54
15061730,44.824,28,117.313,115,58.32512,50,32.608,39,308.226,319,32.382,42,46.804,45,320.776,305,52.492,52,27.888,19,78.11,5,51.632,27,18.877,18,88.654,90,84.666,84,7.111,7,259.499,318,93.652,96,34.171,41,97.712,86,58.682,80,18.177,16,338.077,359,29.477,28
