qqPrefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.174470705780224
CBaya,C,BA,CBaya.C,0.17908525391087
CBaya,C,BA,CBaya.C,0.195631517308508
CBaya,C,BA,CBaya.C,0.211998589905485
CBaya,C,BA,CBaya.C,0.210025358888058
CBaya,C,BA,CBaya.C,0.185000185359049
CBaya,C,BA,CBaya.C,0.178690187370177
CBaya,C,BA,CBaya.C,0.191789508554148
CBaya,C,BA,CBaya.C,0.185283438395689
CBaya,C,BA,CBaya.C,0.17990809771216
CBaya,C,BA,CBaya.C,0.177677255845394
CBaya,C,BA,CBaya.C,0.16467206885168
CBaya,C,BA,CBaya.C,0.191365130133736
CBaya,C,BA,CBaya.C,0.178687150871961
CBaya,C,BA,CBaya.C,0.153081223018282
CBaya,C,BA,CBaya.C,0.141668426001329
CBaya,C,BA,CBaya.C,0.129438820907895
CBaya,C,BA,CBaya.C,0.133148307331149
CBaya,C,BA,CBaya.C,0.148973316428019
CBaya,C,BA,CBaya.C,0.117684713431979
CBaya,C,BA,CBaya.C,0.136703462878692
CBaya,C,BA,CBaya.C,0.165566569665858
CBaya,C,BA,CBaya.C,0.175719144668023
CBaya,C,BA,CBaya.C,0.226146650045027
CBaya,C,BA,CBaya.C,0.263980260142164
CBaya,C,BA,CBaya.C,0.291921219881667
CBaya,C,BA,CBaya.C,0.192218216607412
CBaya,C,BA,CBaya.C,0.217186151357191
CBaya,C,BA,CBaya.C,0.201986553795674
CBaya,C,BA,CBaya.C,0.196783633491072
CBaya,C,BA,CBaya.C,0.207675205685696
CBaya,C,BA,CBaya.C,0.159300961742555
CBaya,C,BA,CBaya.C,0.158136280274433
CBaya,C,BA,CBaya.C,0.159460994915098
CBaya,C,BA,CBaya.C,0.168774954510991
CBaya,C,BA,CBaya.C,0.18421040791796
CBaya,C,BA,CBaya.C,0.160669674502309
CBaya,C,BA,CBaya.C,0.18352202229137
CBaya,C,BA,CBaya.C,0.179766306197951
CBaya,C,BA,CBaya.C,0.195659436709783
CBaya,C,BA,CBaya.C,0.203155470096695
CBaya,C,BA,CBaya.C,0.185559512500351
CBaya,C,BA,CBaya.C,0.201386747865069
CBaya,C,BA,CBaya.C,0.177188432823704
CBaya,C,BA,CBaya.C,0.159135645441914
CBaya,C,BA,CBaya.C,0.136089134366643
CBaya,C,BA,CBaya.C,0.141669849020473
CBaya,C,BA,CBaya.C,0.186200812571068
CBaya,C,BA,CBaya.C,0.142064958200007
CBaya,C,BA,CBaya.C,0.163997169496669
CBaya,C,BA,CBaya.C,0.199836326731915
CBaya,C,BA,CBaya.C,0.184900966192434
CBaya,C,BA,CBaya.C,0.197167731006904
CBaya,C,BA,CBaya.C,0.168245881300565
CBaya,C,BA,CBaya.C,0.169324279594911
CBaya,C,BA,CBaya.C,0.172478414971609
CBaya,C,BA,CBaya.C,0.186746662863913
CBaya,C,BA,CBaya.C,0.178687598240811
CBaya,C,BA,CBaya.C,0.193585834762449
CBaya,C,BA,CBaya.C,0.190442605089474
CBaya,C,BA,CBaya.C,0.227517086988068
CBaya,C,BA,CBaya.C,0.191993187538817
CBaya,C,BA,CBaya.C,0.185224292046098
CBaya,C,BA,CBaya.C,0.201700798114454
CBaya,C,BA,CBaya.C,0.281454084393938
CBaya,C,BA,CBaya.C,0.181084300780215
CBaya,C,BA,CBaya.C,0.166500684620416
CBaya,C,BA,CBaya.C,0.169846311483892
CBaya,C,BA,CBaya.C,0.138992092968093
CBaya,C,BA,CBaya.C,0.13028659957089
CBaya,C,BA,CBaya.C,0.150510158780896
CBaya,C,BA,CBaya.C,0.173690457970495
CBaya,C,BA,CBaya.C,0.171234206654783
CBaya,C,BA,CBaya.C,0.169962251624318
CBaya,C,BA,CBaya.C,0.216721702826158
CBaya,C,BA,CBaya.C,0.22578103574199
CBaya,C,BA,CBaya.C,0.230369683100632
CBaya,C,BA,CBaya.C,0.180654652018955
CBaya,C,BA,CBaya.C,0.170239396872805
CBaya,C,BA,CBaya.C,0.169274153808986
CBaya,C,BA,CBaya.C,0.16229834047575
CBaya,C,BA,CBaya.C,0.163663687100354
CBaya,C,BA,CBaya.C,0.152576771605982
CBaya,C,BA,CBaya.C,0.174679899244578
CBaya,C,BA,CBaya.C,0.162260520881043
CBaya,C,BA,CBaya.C,0.217195766769969
CBaya,C,BA,CBaya.C,0.181845599335156
CBaya,C,BA,CBaya.C,0.193787769460621
CBaya,C,BA,CBaya.C,0.244744451238827
CBaya,C,BA,CBaya.C,0.216234890162235
CBaya,C,BA,CBaya.C,0.203017295995221
CBaya,C,BA,CBaya.C,0.192868356032079
CBaya,C,BA,CBaya.C,0.167258169550875
CBaya,C,BA,CBaya.C,0.230413352705066
CBaya,C,BA,CBaya.C,0.21129940687401
CBaya,C,BA,CBaya.C,0.216795817435812
CBaya,C,BA,CBaya.C,0.235726786472238
CBaya,C,BA,CBaya.C,0.281281061887823
CBaya,C,BA,CBaya.C,0.287261911134346
CBaya,C,BA,CBaya.C,0.222149561998008
CBaya,C,BA,CBaya.C,0.22511419557006
CBaya,C,BA,CBaya.C,0.160945030422599
CBaya,C,BA,CBaya.C,0.136300055933581
CBaya,C,BA,CBaya.C,0.147218918881948
CBaya,C,BA,CBaya.C,0.156553008549717
CBaya,C,BA,CBaya.C,0.20121455663832
CBaya,C,BA,CBaya.C,0.204557922259848
CBaya,C,BA,CBaya.C,0.197770728918256
CBaya,C,BA,CBaya.C,0.230507920303405
