"","Prefix","CHL_Components","Traits","Models","Predictive_Ability"
"446","PCSprout","L","PCSprout.L","BL",0.378
"447","PCSprout","L","PCSprout.L","BL",0.433
"448","PCSprout","L","PCSprout.L","BL",0.467
"449","PCSprout","L","PCSprout.L","BL",0.539
"450","PCSprout","L","PCSprout.L","BL",0.311
"451","PCSprout","L","PCSprout.L","BRR",0.506
"452","PCSprout","L","PCSprout.L","BRR",0.335
"453","PCSprout","L","PCSprout.L","BRR",0.372
"454","PCSprout","L","PCSprout.L","BRR",0.49
"455","PCSprout","L","PCSprout.L","BRR",0.55
"456","PCSprout","L","PCSprout.L","BRR",0.372
"457","PCSprout","L","PCSprout.L","BRR",0.452
"458","PCSprout","L","PCSprout.L","BRR",0.601
"459","PCSprout","L","PCSprout.L","BRR",0.415
"460","PCSprout","L","PCSprout.L","BRR",0.446
"461","PCSprout","L","PCSprout.L","BRR",0.495
"462","PCSprout","L","PCSprout.L","BRR",0.432
"463","PCSprout","L","PCSprout.L","BRR",0.351
"464","PCSprout","L","PCSprout.L","BRR",0.403
"465","PCSprout","L","PCSprout.L","BRR",0.44
"466","PCSprout","L","PCSprout.L","BRR",0.5
"467","PCSprout","L","PCSprout.L","BRR",0.507
"468","PCSprout","L","PCSprout.L","BRR",0.465
"469","PCSprout","L","PCSprout.L","BRR",0.299
"470","PCSprout","L","PCSprout.L","BRR",0.392
"471","PCSprout","L","PCSprout.L","BRR",0.41
"472","PCSprout","L","PCSprout.L","BRR",0.318
"473","PCSprout","L","PCSprout.L","BRR",0.519
"474","PCSprout","L","PCSprout.L","BRR",0.492
"475","PCSprout","L","PCSprout.L","BRR",0.475
"476","PCSprout","L","PCSprout.L","GBLUP",0.533
"477","PCSprout","L","PCSprout.L","GBLUP",0.443
"478","PCSprout","L","PCSprout.L","GBLUP",0.449
"479","PCSprout","L","PCSprout.L","GBLUP",0.46
"480","PCSprout","L","PCSprout.L","GBLUP",0.334
"481","PCSprout","L","PCSprout.L","GBLUP",0.474
"482","PCSprout","L","PCSprout.L","GBLUP",0.501
"483","PCSprout","L","PCSprout.L","GBLUP",0.375
"484","PCSprout","L","PCSprout.L","GBLUP",0.292
"485","PCSprout","L","PCSprout.L","GBLUP",0.417
"486","PCSprout","L","PCSprout.L","GBLUP",0.376
"487","PCSprout","L","PCSprout.L","GBLUP",0.64
"488","PCSprout","L","PCSprout.L","GBLUP",0.492
"489","PCSprout","L","PCSprout.L","GBLUP",0.352
"490","PCSprout","L","PCSprout.L","GBLUP",0.345
"491","PCSprout","L","PCSprout.L","GBLUP",0.327
"492","PCSprout","L","PCSprout.L","GBLUP",0.572
"493","PCSprout","L","PCSprout.L","GBLUP",0.288
"494","PCSprout","L","PCSprout.L","GBLUP",0.526
"495","PCSprout","L","PCSprout.L","GBLUP",0.432
"496","PCSprout","L","PCSprout.L","GBLUP",0.495
"497","PCSprout","L","PCSprout.L","GBLUP",0.167
"498","PCSprout","L","PCSprout.L","GBLUP",0.66
"499","PCSprout","L","PCSprout.L","GBLUP",0.466
"500","PCSprout","L","PCSprout.L","GBLUP",0.437
"501","PCSprout","L","PCSprout.L","RKHS",0.329
"502","PCSprout","L","PCSprout.L","RKHS",0.374
"503","PCSprout","L","PCSprout.L","RKHS",0.448
"504","PCSprout","L","PCSprout.L","RKHS",0.443
"505","PCSprout","L","PCSprout.L","RKHS",0.6
"506","PCSprout","L","PCSprout.L","RKHS",0.461
"507","PCSprout","L","PCSprout.L","RKHS",0.478
"508","PCSprout","L","PCSprout.L","RKHS",0.483
"509","PCSprout","L","PCSprout.L","RKHS",0.451
"510","PCSprout","L","PCSprout.L","RKHS",0.401
"511","PCSprout","L","PCSprout.L","RKHS",0.384
"512","PCSprout","L","PCSprout.L","RKHS",0.379
"513","PCSprout","L","PCSprout.L","RKHS",0.458
"514","PCSprout","L","PCSprout.L","RKHS",0.493
