"Registro","CTallo","CPFlor","CBaya","CPTuber","CSTuber","CPulpa","CSPulpa","CPBrote","CSBrote"
"15061479","144A","N82A","144B","183A","160A","157A",NA,"N79C","NN155A"
"15061480","N77A","N80B","144A","186A","160A","160C",NA,"90B","NN155D"
"15061481","144A","N82A","144A","162A","176B","155A",NA,"N92C",NA
"15061482","144A","N80A",NA,"160A","182B","155A",NA,"71A","NN155A"
"15061484","137B","83C","145A","184A",NA,"160C",NA,"N92C",NA
"15061485","144A","90A",NA,"160A","181C","160D",NA,"71A","NN155A"
"15061486","200A","N88C","144A","N186A",NA,"157C",NA,"N92D","NN155D"
"15061487","200A","83C","143A","N186C","160A","155A",NA,"N92C","NN155D"
"15061488","N77A","N82A","144A","N187A","161A","155A",NA,"90A","NN155A"
"15061489","N77A","N81A","144B","N186C","161A","160D",NA,"N92D","NN155A"
"15061490","N77A","N82A","144B","N186C","160A","160C",NA,"N78B","NN155A"
"15062122","200A","83A","144B","N186A",NA,"155A",NA,"N92C","NN155C"
"15061491","N77A","N82A","N144A","N187A","162B","160D","N79B","N78B","NN155C"
"15061492","200A","N82C","144A","N187A","162B","160B","N79B","86B","NN155A"
"15061493","144A","N88B","144A","187B","162B","160C",NA,"N92D","NN155C"
"15061494","N77A","N82A","144A","N186A","187B","155A",NA,"N92D",NA
"15061495","N77A","90B","145A","187B","162B","160D",NA,"N92C","NN155D"
"15061496","N77A","N88A","144A","178A","162B","155A",NA,"N92D","NN155D"
"15061498","200A","86A","144A","N186A","162B","160D",NA,"N92D","NN155D"
"15062123","144A","N88C","144A","161A","181A","155A",NA,"N92C",NA
"15061499","144A","N88D","N144A","162B","182A","160D",NA,"N92D","NN155D"
"15061500","144A","N81A","146B","160A","182A","155C",NA,"N80B","NN155A"
"15061501","N77A","N82A","146B","165C","178B","155A",NA,"N80A","NN155D"
"15061503","144A","N88C","144B","N77D","160B","160C",NA,"92D","NN155D"
"15061504","137B","N82B","144A","N77D","160B","155A",NA,"90D","NN155C"
"15061505","137C","N81A","144B","182A",NA,"160C",NA,"N78A",NA
"15061507","144A","N81A","N144A","183C","160A","155A",NA,"90B","NN155A"
"15061508","N77A","N81A","144B","160A","183B","155A",NA,"90B","NN155A"
"15061509","144A","155A","144B","N187A",NA,"160D","N79A","N92D","NN155A"
"15061511","144A","155A","146B","N186A",NA,"155A","N79A","N92C","NN155A"
"15061514","144A","N88D","144B","181A","162B","160D",NA,"N92C","NN155D"
"15062124","137B","155A","N144A","N186B",NA,"160D","N79A","N92D","NN155D"
"15061515","137B","155A","146C","183B","173D","160D",NA,"N92D","NN155D"
"15061516","N77A","N80A","144B","183C",NA,"155B",NA,"71A","NN155B"
"15061517","137A","N82A","144A","187B","160A","160D",NA,"91B","NN155D"
"15061518","144A","N82A","144B","187B","162B","155A",NA,"91A","NN155A"
"15061520","144A","N82A","146B","178A","162B","160B",NA,"N79D","NN155A"
"15061521","N77A","N82C","144B","183B","162B","160B",NA,"N75B","NN155D"
