Prefix,HCL_component,Traits,Models,Predictive_ability
CPTuber,H,CPTuber.H,RF,0.321
CPTuber,H,CPTuber.H,RF,0.292
CPTuber,H,CPTuber.H,RF,0.358
CPTuber,H,CPTuber.H,RF,0.417
CPTuber,L,CPTuber.L,BA,0.384
CPTuber,L,CPTuber.L,BA,0.427
CPTuber,L,CPTuber.L,BA,0.435
CPTuber,L,CPTuber.L,BA,0.468
CPTuber,L,CPTuber.L,BB,0.453
CPTuber,L,CPTuber.L,BB,0.497
CPTuber,L,CPTuber.L,BB,0.385
CPTuber,L,CPTuber.L,BB,0.391
CPTuber,L,CPTuber.L,BC,0.504
CPTuber,L,CPTuber.L,BC,0.378
CPTuber,L,CPTuber.L,BC,0.406
CPTuber,L,CPTuber.L,BC,0.518
CPTuber,L,CPTuber.L,BL,0.404
CPTuber,L,CPTuber.L,BL,0.476
CPTuber,L,CPTuber.L,BL,0.415
CPTuber,L,CPTuber.L,BL,0.486
CPTuber,L,CPTuber.L,BRR,0.45
CPTuber,L,CPTuber.L,BRR,0.409
CPTuber,L,CPTuber.L,BRR,0.393
CPTuber,L,CPTuber.L,BRR,0.451
CPTuber,L,CPTuber.L,GBLUP,0.454
CPTuber,L,CPTuber.L,GBLUP,0.333
CPTuber,L,CPTuber.L,GBLUP,0.42
CPTuber,L,CPTuber.L,GBLUP,0.444
CPTuber,L,CPTuber.L,EGBLUP,0.487
CPTuber,L,CPTuber.L,EGBLUP,0.492
CPTuber,L,CPTuber.L,EGBLUP,0.466
CPTuber,L,CPTuber.L,EGBLUP,0.421
CPTuber,L,CPTuber.L,RKHS,0.479
CPTuber,L,CPTuber.L,RKHS,0.449
CPTuber,L,CPTuber.L,RKHS,0.443
CPTuber,L,CPTuber.L,RKHS,0.465
CPTuber,L,CPTuber.L,Lasso,0.391
CPTuber,L,CPTuber.L,Lasso,0.404
CPTuber,L,CPTuber.L,Lasso,0.376
CPTuber,L,CPTuber.L,Lasso,0.349
CPTuber,L,CPTuber.L,RR,0.486
CPTuber,L,CPTuber.L,RR,0.44
CPTuber,L,CPTuber.L,RR,0.473
CPTuber,L,CPTuber.L,RR,0.423
CPTuber,L,CPTuber.L,SVM,0.496
CPTuber,L,CPTuber.L,SVM,0.501
CPTuber,L,CPTuber.L,SVM,0.312
CPTuber,L,CPTuber.L,SVM,0.478
CPTuber,L,CPTuber.L,RF,0.379
CPTuber,L,CPTuber.L,RF,0.459
CPTuber,L,CPTuber.L,RF,0.446
CPTuber,L,CPTuber.L,RF,0.49
CPulpa,C,CPulpa.C,BA,0.384
CPulpa,C,CPulpa.C,BA,0.372
CPulpa,C,CPulpa.C,BA,0.44
CPulpa,C,CPulpa.C,BA,0.415
CPulpa,C,CPulpa.C,BB,0.331
CPulpa,C,CPulpa.C,BB,0.437
CPulpa,C,CPulpa.C,BB,0.411
CPulpa,C,CPulpa.C,BB,0.342
CPulpa,C,CPulpa.C,BC,0.412
CPulpa,C,CPulpa.C,BC,0.345
CPulpa,C,CPulpa.C,BC,0.451
